floors,listing_count,median_price_million_vnd,median_price_per_m2
0.0,2,13916.5,49.27982954545455
1.0,2284,4850.0,86.45104895104895
2.0,3936,6200.0,97.41360089186176
3.0,6119,6000.0,100.0
4.0,6972,7480.0,131.16887461528168
5.0,8479,8400.0,172.0
6.0,6380,8999.5,202.40505108926163
7.0,2543,14000.0,254.41176470588235
8.0,1286,21000.0,312.13235294117646
9.0,510,34300.0,372.0779220779221
10.0,279,61500.0,500.0
11.0,97,84800.0,561.7977528089888
12.0,23,95000.0,396.0
13.0,10,76000.0,391.2280701754386
14.0,7,80000.0,100.0
15.0,7,23000.0,147.05882352941177
