listing_id,province,district,area_m2,price_million_vnd,price_per_m2
169510,Long An,Ben Luc,500000.0,100000.0,0.2
180624,Binh Duong,Di An,150512.0,10500.0,0.0697618794514723
149457,Tuyen Quang,Son Duong,100000.0,70000.0,0.7
192693,Ho Chi Minh,Quan 12,90000.0,50000.0,0.5555555555555556
166519,Ho Chi Minh,Cu Chi,79000.0,237000.0,3.0
173405,Hung Yen,My Hao,60000.0,180000.0,3.0
141019,Dong Nai,Trang Bom,50000.0,280000.0,5.6
153450,Ho Chi Minh,Quan 6,35000.0,300000.0,8.571428571428571
143664,Binh Phuoc,Loc Ninh,34000.0,130000.0,3.823529411764706
189182,Ho Chi Minh,Cu Chi,30000.0,190000.0,6.333333333333333
196612,Dong Nai,Long Thanh,30000.0,134000.0,4.466666666666667
160652,Hung Yen,Van Giang,30000.0,120000.0,4.0
178581,Ho Chi Minh,Binh Chanh,30000.0,50.0,0.0016666666666666668
179623,An Giang,Long Xuyen,30000.0,50.0,0.0016666666666666668
178689,Ho Chi Minh,Binh Chanh,30000.0,50.0,0.0016666666666666668
117506,Ha Noi,Nam Tu Liem,26104.0,850000.0,32.562059454489734
123543,Dong Nai,Bien Hoa,26000.0,85000.0,3.269230769230769
185813,Ho Chi Minh,Cu Chi,26000.0,25000.0,0.9615384615384616
132272,Ho Chi Minh,Huyen Oc Mon,25000.0,315.0,0.0126
172583,Ho Chi Minh,Quan 12,24000.0,50000.0,2.0833333333333335
132293,Ho Chi Minh,Huyen Oc Mon,23000.0,300.0,0.013043478260869565
171178,Hung Yen,Yen My,20000.0,100000.0,5.0
171725,Phu Tho,Cam Khe,20000.0,46800.0,2.34
165220,Ha Nam,Duy Tien,20000.0,40000.0,2.0
132352,Ho Chi Minh,Nha Be,19000.0,285.0,0.015
164987,Ho Chi Minh,Quan 12,16500.0,390000.0,23.636363636363637
170937,Ho Chi Minh,Quan 12,16390.0,380000.0,23.184868822452714
192099,Dong Nai,Nhon Trach,15000.0,85000.0,5.666666666666667
132500,Ho Chi Minh,Huyen Oc Mon,15000.0,280.0,0.018666666666666668
132502,Ho Chi Minh,Nha Be,15000.0,280.0,0.018666666666666668
172055,Ho Chi Minh,Huyen Oc Mon,14750.0,135000.0,9.152542372881356
134491,Ho Chi Minh,Huyen Oc Mon,14700.0,135000.0,9.183673469387756
170787,Ho Chi Minh,Huyen Oc Mon,14650.0,135000.0,9.215017064846416
133522,Ho Chi Minh,Quan 12,14400.0,390000.0,27.083333333333332
166247,Ho Chi Minh,Cu Chi,14000.0,38000.0,2.7142857142857144
191551,Binh Phuoc,Chon Thanh,13679.0,29000.0,2.1200380144747424
195029,Ho Chi Minh,Thu Duc,12655.0,4390.0,0.3468984591070723
134251,Ho Chi Minh,Quan 12,12468.0,550000.0,44.11292909849214
116301,Ho Chi Minh,Quan 12,12000.0,450000.0,37.5
134349,Ho Chi Minh,Quan 12,12000.0,430000.0,35.833333333333336
193220,Dong Nai,Trang Bom,12000.0,45000.0,3.75
146513,Vinh Phuc,Tam Dao,11398.0,3.35,0.0002939112124934199
193935,Dong Nai,Trang Bom,11000.0,95000.0,8.636363636363637
123561,Ho Chi Minh,Quan 12,10052.0,420000.0,41.78272980501393
177534,Ho Chi Minh,Quan 12,10052.0,400000.0,39.793076004775166
132353,Ho Chi Minh,Go Vap,10000.0,220000.0,22.0
179280,Ho Chi Minh,Cu Chi,10000.0,105000.0,10.5
169368,Ho Chi Minh,Binh Chanh,10000.0,90000.0,9.0
129949,Ho Chi Minh,Quan 12,10000.0,42000.0,4.2
175458,Thai Binh,Thai Thuy,10000.0,11000.0,1.1
154669,Ha Tinh,Huyen Uong Son,10000.0,2500.0,0.25
178575,Ho Chi Minh,Binh Tan,10000.0,50.0,0.005
