feature,selection
area_m2,required
area_m2_capped_p99,required
log_area_m2,required
bedrooms_imputed,required
bedrooms_missing,required
bathrooms_imputed,required
bathrooms_missing,required
floors_imputed,required
floors_missing,required
has_frontage,required
timeline_hours_imputed,required
timeline_log_hours,required
timeline_bucket,required
is_new_listing,required
province,required
district,required
total_rooms,required
area_per_room,required
bedroom_density,required
bathroom_density,required
is_large_property,required
is_multi_floor,required
province_frequency_ref,optional
district_frequency_ref,optional
province_listing_count_ref,optional
district_listing_count_ref,optional
province_median_price_million_vnd_ref,optional
province_median_price_per_m2_ref,optional
district_median_price_million_vnd_ref,optional
district_median_price_per_m2_ref,optional
district_to_province_price_ratio_ref,optional
district_to_province_price_per_m2_ratio_ref,optional
timeline_hours_capped_p99,optional
bedrooms_capped_p99,optional
bathrooms_capped_p99,optional
floors_capped_p99,optional
has_frontage_x_log_area,optional
is_outlier_area,optional
bedrooms,exclude_from_predictors
bathrooms,exclude_from_predictors
floors,exclude_from_predictors
frontage_raw,exclude_from_predictors
target_price_per_m2,exclude_from_predictors
target_log_price_per_m2,exclude_from_predictors
is_outlier_price,exclude_from_predictors
is_outlier_price_per_m2,exclude_from_predictors
is_outlier_any,exclude_from_predictors
is_robust_train_candidate,exclude_from_predictors
